CORE_CN,TRE_CN,PLOT_CN,Year,RW,STATECD,COUNTYCD,DIA,MEASYEAR,LAT,LON,ELEV,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,VERIFY,REVISIT,INVYR
289859843489998,2976031010690,2976020010690,1935,2.11,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1936,1.84,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1937,1.93,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1938,1.81,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1939,1.66,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1940,2.3,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1941,2.76,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1942,2.6,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1943,2.67,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1944,1.8,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1945,1.98,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1946,1.49,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1947,1.37,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1948,1.22,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1949,1.5,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1950,1.02,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1951,1.2,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1952,1.84,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1953,2.1,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1954,1.73,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1955,1.98,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1956,1.65,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1957,1.94,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1958,2.36,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1959,2.02,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1960,2.17,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1961,1.96,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1962,1.92,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1963,3,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
289859843489998,2976031010690,2976020010690,1964,2.7,30,29,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989
