TRE_CN,PLOT_CN,MEASYEAR,Year,RW,DIA
23R1,667907477126144,2023,1855,1.68,12.1
23R1,667907477126144,2023,1856,1.03,12.1
23R1,667907477126144,2023,1857,1.12,12.1
23R1,667907477126144,2023,1858,1.15,12.1
23R1,667907477126144,2023,1859,1.4,12.1
23R1,667907477126144,2023,1860,1.34,12.1
23R1,667907477126144,2023,1861,1.05,12.1
23R1,667907477126144,2023,1862,0.19,12.1
23R1,667907477126144,2023,1863,0.92,12.1
23R1,667907477126144,2023,1864,1.24,12.1
23R1,667907477126144,2023,1865,0.87,12.1
23R1,667907477126144,2023,1866,0.56,12.1
23R1,667907477126144,2023,1867,0.91,12.1
23R1,667907477126144,2023,1868,0.77,12.1
23R1,667907477126144,2023,1869,0.78,12.1
23R1,667907477126144,2023,1870,0.73,12.1
23R1,667907477126144,2023,1871,0.78,12.1
23R1,667907477126144,2023,1872,1.09,12.1
23R1,667907477126144,2023,1873,1.64,12.1
23R1,667907477126144,2023,1874,1.47,12.1
23R1,667907477126144,2023,1875,0.68,12.1
23R1,667907477126144,2023,1876,0.74,12.1
23R1,667907477126144,2023,1877,0.52,12.1
23R1,667907477126144,2023,1878,0.53,12.1
23R1,667907477126144,2023,1879,0.7,12.1
23R1,667907477126144,2023,1880,0.66,12.1
23R1,667907477126144,2023,1881,0.87,12.1
23R1,667907477126144,2023,1882,0.91,12.1
23R1,667907477126144,2023,1883,0.76,12.1
23R1,667907477126144,2023,1884,0.98,12.1
23R1,667907477126144,2023,1885,1.07,12.1
23R1,667907477126144,2023,1886,1.06,12.1
23R1,667907477126144,2023,1887,1.26,12.1
23R1,667907477126144,2023,1888,1.82,12.1
23R1,667907477126144,2023,1889,0.63,12.1
23R1,667907477126144,2023,1890,0.61,12.1
23R1,667907477126144,2023,1891,1.08,12.1
23R1,667907477126144,2023,1892,0.67,12.1
23R1,667907477126144,2023,1893,0.68,12.1
23R1,667907477126144,2023,1894,0.56,12.1
23R1,667907477126144,2023,1895,0.58,12.1
23R1,667907477126144,2023,1896,0.48,12.1
23R1,667907477126144,2023,1897,0.52,12.1
23R1,667907477126144,2023,1898,0.58,12.1
23R1,667907477126144,2023,1899,0.72,12.1
23R1,667907477126144,2023,1900,0.83,12.1
23R1,667907477126144,2023,1901,0.72,12.1
23R1,667907477126144,2023,1902,0.87,12.1
23R1,667907477126144,2023,1903,0.76,12.1
23R1,667907477126144,2023,1904,1.28,12.1
23R1,667907477126144,2023,1905,1.13,12.1
23R1,667907477126144,2023,1906,0.69,12.1
23R1,667907477126144,2023,1907,0.65,12.1
23R1,667907477126144,2023,1908,0.65,12.1
23R1,667907477126144,2023,1909,0.6,12.1
23R1,667907477126144,2023,1910,0.72,12.1
23R1,667907477126144,2023,1911,0.83,12.1
23R1,667907477126144,2023,1912,0.82,12.1
23R1,667907477126144,2023,1913,0.9,12.1
23R1,667907477126144,2023,1914,0.91,12.1
23R1,667907477126144,2023,1915,0.93,12.1
23R1,667907477126144,2023,1916,0.72,12.1
23R1,667907477126144,2023,1917,0.46,12.1
23R1,667907477126144,2023,1918,0.66,12.1
23R1,667907477126144,2023,1919,0.94,12.1
23R1,667907477126144,2023,1920,0.79,12.1
23R1,667907477126144,2023,1921,0.76,12.1
23R1,667907477126144,2023,1922,0.72,12.1
23R1,667907477126144,2023,1923,0.44,12.1
23R1,667907477126144,2023,1924,0.69,12.1
23R1,667907477126144,2023,1925,0.63,12.1
23R1,667907477126144,2023,1926,0.55,12.1
23R1,667907477126144,2023,1927,0.53,12.1
23R1,667907477126144,2023,1928,0.63,12.1
23R1,667907477126144,2023,1929,0.53,12.1
23R1,667907477126144,2023,1930,0.52,12.1
